City,Date,AQI
Varanasi,2021-01-15,222.83
Varanasi,2021-02-15,202.90
Varanasi,2021-03-15,204.66
Varanasi,2021-04-15,195.30
Varanasi,2021-05-15,95.54
Varanasi,2021-06-15,81.50
Varanasi,2021-07-15,51.94
Varanasi,2021-08-15,48.94
Varanasi,2021-09-15,46.30
Varanasi,2021-10-15,73.29
Varanasi,2021-11-15,201.71
Varanasi,2021-12-15,145.00
