City,Date,AQI
Varanasi,2024-01-15,74.42
Varanasi,2024-02-15,57.03
Varanasi,2024-03-15,53.94
Varanasi,2024-04-15,58.35
Varanasi,2024-05-15,64.19
Varanasi,2024-06-15,57.61
Varanasi,2024-07-15,44.13
Varanasi,2024-08-15,41.42
Varanasi,2024-09-15,58.19
Varanasi,2024-10-15,74.97
Varanasi,2024-11-15,89.03
Varanasi,2024-12-15,68.87
